berita;ringkasan;url
Sebulan setelah uji coba perluasan ganjil genap di delapan ruas jalan di Jakarta, kemacetan di Ibukota diklaim telah turun 14 persen. ;Kemacetan di Ibukota turun 14 persen.;https://www.cnnindonesia.com/nasional/20180801111511-20-318575/kemacetan-diklaim-turun-14-persen-usai-perluasan-ganjil-genap
Pada hari ini, perluasan ganjil genap di ibu kota RI tersebut resmi diterapkan, dan para pelanggar akan ditindak tilang.;Perluasan ganjil genap di ibu Kota RI resmi diterapkan.;https://www.cnnindonesia.com/nasional/20180801111511-20-318575/kemacetan-diklaim-turun-14-persen-usai-perluasan-ganjil-genap
Perluasan ganjil genap itu diatur lewat Peraturan Gubernur yang telah diteken Gubernur DKI Jakarta Anies Baswedan kemarin.;Perluasan ganjil genap diatur Peraturan Gubernur.;https://www.cnnindonesia.com/nasional/20180801111511-20-318575/kemacetan-diklaim-turun-14-persen-usai-perluasan-ganjil-genap
Perluasan dilakukan demi menjamin kelancaran perjalanan dari Wisma Atlet Kemayoran hingga masing-masing venue Asian Games. ;Perluasan dilakukan demi menjamin kelancaran perjalanan .;https://www.cnnindonesia.com/nasional/20180801111511-20-318575/kemacetan-diklaim-turun-14-persen-usai-perluasan-ganjil-genap
Selain untuk mengurangi kemacetan, kata Royke, perluasan ganjil genap itu pun diharapkan mampu mengurangi polusi udara sebesar 50 persen di Jakarta.;Perluasan ganjil genap diharapkan mengurangi polusi udara.;https://www.cnnindonesia.com/nasional/20180801111511-20-318575/kemacetan-diklaim-turun-14-persen-usai-perluasan-ganjil-genap
Selama uji coba sebulan terakhir, Royke menyebut wilayah yang paling tertib atau jarang terjadi pelanggaran adalah di ruas jalan Sudirman-MH Thamrin dan Jalan Gatot Subroto.;Wilayah paling tertib selama uji coba sebulan terakhir.;https://www.cnnindonesia.com/nasional/20180801111511-20-318575/kemacetan-diklaim-turun-14-persen-usai-perluasan-ganjil-genap
Royke mengatakan setelah perluasan ganjil genap ini resmi diberlakukan, maka para pelanggar akan ditilang dan didenda Rp500.000 atau kurungan dua bulan.;Pelanggar akan ditilang setelah perluasan ganjil genap resmi diberlakukan.;https://www.cnnindonesia.com/nasional/20180801111511-20-318575/kemacetan-diklaim-turun-14-persen-usai-perluasan-ganjil-genap
Atas dasar itu, Royke pun mengimbau agar masyarakat lebih baik beralih ke moda transportasi umum, atau bersepeda dan jalan jika tempat yang ingin dicapai cukup dekat.;Royke mengimbau agar masyarakat beralih ke moda transportasi umum.;https://www.cnnindonesia.com/nasional/20180801111511-20-318575/kemacetan-diklaim-turun-14-persen-usai-perluasan-ganjil-genap
Perluasan sistem ganjil genap ini berlaku di ruas jalan HR Rasuna Said dan Jalan Metro Pondok Indah (Jakarta Selatan), Jalan Haji Benyamin Sueb (Jakarta Pusat), serta Jalan MT Haryono dan Jalan DI Panjaitan (Jakarta Timur).;Jalan yang berlaku perluasan ganjil genap.;https://www.cnnindonesia.com/nasional/20180801111511-20-318575/kemacetan-diklaim-turun-14-persen-usai-perluasan-ganjil-genap
Selain itu waktu pelaksaanaan ganjil genap itu diperpanjang mulai pukul 06.00 WIB hingga pukul 21.00 WIB.;Waktu pelaksanaan ganjil genap diperpanjang.;https://www.cnnindonesia.com/nasional/20180801111511-20-318575/kemacetan-diklaim-turun-14-persen-usai-perluasan-ganjil-genap
Jalur alternatif dampak penerapan tilang perluasan ganjil-genap di kawasan Pondok Indah terpantau padat. Penilangan ganjil-genap berlaku di Jalan Metro Pondok Indah pukul 06.00-21.00 WIB.;Dampak penerapan tilang.;https://www.cnnindonesia.com/nasional/20180801094832-20-318549/tilang-ganjil-genap-berlaku-warga-padati-jalur-alternatif
Penyempitan jalur akibat pembangunan proyek konstruksi proyek mass rapid transit (MRT) di Jalan RS Fatmawati pun mengakibatkan kondisi lalu lintas semakin padat pagi ini, khususnya di pertigaan Jalan Cipete Raya.;Penyempitan jalur akibat pembangunan proyek MRT.;https://www.cnnindonesia.com/nasional/20180801094832-20-318549/tilang-ganjil-genap-berlaku-warga-padati-jalur-alternatif
Terpisah, Kanit Lantas Polsek Kebayoran Lama Hermanto mengatakan pihaknya masih menegakkan hukum secara persuasif. Hermanto menyadari sosialisasi ganjil genap di kawasan Pondok Indah masih minim.;Sosialisasi ganjil genap minim.;https://www.cnnindonesia.com/nasional/20180801094832-20-318549/tilang-ganjil-genap-berlaku-warga-padati-jalur-alternatif
Adapun sistem ganjil-genap kawasan Pondok Indah mulanya berlaku dari simpang Kartini-Bundaran Metro Pondok Indah-simpang Pondok Indah-simpang Bungur-simpang Gandaria City-simpang Kebayoran Lama.;Sistem ganjil-genap kawasan Pondok Indah.;https://www.cnnindonesia.com/nasional/20180801094832-20-318549/tilang-ganjil-genap-berlaku-warga-padati-jalur-alternatif
Ombudsman DKI sepakat dengan rencana Pemprov DKI Jakarta terkait pembukaan Jalan Jatibaru, Tanah Abang dilakukan setelah pembangunan skybridge atau jembatan penghubung rampung dilakukan, yakni pertengahan Oktober 2018.;Pembukaan Jalan Jatibaru pertengahan Oktober 2018.;https://www.cnnindonesia.com/nasional/20180731201659-20-318483/ombudsman-pemprov-dki-sepakat-pembukaan-jatibaru-oktober
Kepala Ombudsman DKI Teguh Nugroho mengatakan kesepakatan itu dilakukan setelah Pemprov DKI memberikan paparan secara detail soal rencana penataan kawasan Tanah Abang.;Kesepakatan dilakukan setelah paparan rencana penataan kawasan Tanah Abang.;https://www.cnnindonesia.com/nasional/20180731201659-20-318483/ombudsman-pemprov-dki-sepakat-pembukaan-jatibaru-oktober
Selain Ombudsman dan Pemprov, Ditlantas Polda Metro Jaya juga sepakat dengan pembukaan Jalan Jatibaru setelah pembangunan skybridge tersebut.;Pembukaan Jalan Jatibaru setelah pembangunan skybridge.;https://www.cnnindonesia.com/nasional/20180731201659-20-318483/ombudsman-pemprov-dki-sepakat-pembukaan-jatibaru-oktober
"""Pembukaan Jalan Jatibaru Raya seluruhnya akan dilaksanakan bersamaan dengan peresmian skybridge, hal ini telah disepakati oleh para pihak termasuk Ditlantas Polda Metro Jaya, Forum Lalu Lintas dan Angkutan Jalan,"" tutur Teguh lewat pesan singkat kepada CNNIndonesia.com, Selasa (31/7).";Pembukaan Jalan Jatibaru Raya bersamaan dengan peresmian skybridge.;https://www.cnnindonesia.com/nasional/20180731201659-20-318483/ombudsman-pemprov-dki-sepakat-pembukaan-jatibaru-oktober
Pembangunan skybridge akan dilakukan mulai 3 Agustus dan ditargetkan bisa mulai digunakan pada 15 Oktober.;Pembangunan skybridge dilakukan mulai 3 Agustus.;https://www.cnnindonesia.com/nasional/20180731201659-20-318483/ombudsman-pemprov-dki-sepakat-pembukaan-jatibaru-oktober
Ketiga, soal penempatan PKL di Jalan Jatibaru yang nantinya akan dipindahkan ke skybridge jika telah selesai dibangun.;Penempatan PKL di Jalan Jatibaru dipindahkan ke skybridge.;https://www.cnnindonesia.com/nasional/20180731201659-20-318483/ombudsman-pemprov-dki-sepakat-pembukaan-jatibaru-oktober
Pedagang yang berhak berjualan di skybridge adalah pedagang yang telah diverifikasi oleh Pemprov DKI bersama Ombudsman pada 25 Mei 2018 lalu;Pedagang yang telah diverifikasi berhak berjualan di skybridge.;https://www.cnnindonesia.com/nasional/20180731201659-20-318483/ombudsman-pemprov-dki-sepakat-pembukaan-jatibaru-oktober
Setelah Jembatan Penyebrangan Orang (JPO) Bundaran HI, para pejalan kaki kini diberi fasilitas Pedestrian Light Control Crossing (Pelican Crossing) untuk menyebrang di Jalan MH Thamrin, Jakarta Pusat. ;Pejalan kaki diberi fasilitas Pelican Crossing.;https://www.cnnindonesia.com/nasional/20180731142506-20-318401/keamanan-penyeberang-di-bundaran-hi-saat-malam-dipertanyakan
Di Jalan MH Thamrin, pelican crossing resmi beroperasi hari ini setelah JPO Bundaran HI dibongkar mulai Senin (30/7) malam. ;Pelican Crossing resmi beroperasi di Jalan MH Thamrin.;https://www.cnnindonesia.com/nasional/20180731142506-20-318401/keamanan-penyeberang-di-bundaran-hi-saat-malam-dipertanyakan
Berdasarkan pantauan CNNIndonesia.com, pejalan kaki hilir mudik menyebrangi jalan MH Thamrin dibantu fasilitas pelican crossing dan zebra cross. ;Pejalan kaki menyebrang dibantu pelican crossing dan zebra cross.;https://www.cnnindonesia.com/nasional/20180731142506-20-318401/keamanan-penyeberang-di-bundaran-hi-saat-malam-dipertanyakan
Lampu tersebut bernyala merah selama 13 detik untuk memberi kesempatan para pejalan kaki menyebrang.;Lampu bernyala merah 13 detik untuk menyebrang.;https://www.cnnindonesia.com/nasional/20180731142506-20-318401/keamanan-penyeberang-di-bundaran-hi-saat-malam-dipertanyakan
Warga memang mengaku lebih mudah menyeberang. Alasannya mereka tak perlu lagi menaiki tangga yang tinggi untuk memanfaatkan JPO menyebrang ke sisi jalan lainnya di kawasan tersebut. ;Warga lebih mudah menyebrang.;https://www.cnnindonesia.com/nasional/20180731142506-20-318401/keamanan-penyeberang-di-bundaran-hi-saat-malam-dipertanyakan
Namun, ada yang menilai justru pemanfaatan pelican crossing di jalan protokol Ibu Kota RI tersebut memendam risiko tinggi bagi keselamatan penyebrang maupun pengendara kendaraan bermotor yang melintas.;Pemanfaatan pelican crossing memendam risiko tinggi .;https://www.cnnindonesia.com/nasional/20180731142506-20-318401/keamanan-penyeberang-di-bundaran-hi-saat-malam-dipertanyakan
Badrun mengatakan ada ancaman risiko yang tinggi pada malam hari. Dia yang sudah bekerja hampir setiap hari dalam kurun waktu tujuh tahun mengaku paham betul watak pengendara di kawasan ini. ;Ancaman risiko yang tinggi pada malam hari.;https://www.cnnindonesia.com/nasional/20180731142506-20-318401/keamanan-penyeberang-di-bundaran-hi-saat-malam-dipertanyakan
Lepas pukul 22.00 WIB, kata Badrun, umumnya para pengendara seolah memacu kendaraan lebih 'liar'. Apalagi pada akhir pekan, pengendara di malam hari tidak akan peduli pada aturan lalu lintas atau pengguna jalan yang lain.;Di malam hari pengendara tidak peduli pada aturan lalu lintas.;https://www.cnnindonesia.com/nasional/20180731142506-20-318401/keamanan-penyeberang-di-bundaran-hi-saat-malam-dipertanyakan
Pada 22 Juli 2018, Anies mengatakan salah satu alasan membongkar JPO itu agar tak menghalangi pandangan terhadap Patung Selamat Datang yang berada di tengah kolam Bundaran HI.;Alasan pembongkaran JPO itu agar tak menghalangi pandangan terhadap Patung Selamat Datang.;https://www.cnnindonesia.com/nasional/20180731142506-20-318401/keamanan-penyeberang-di-bundaran-hi-saat-malam-dipertanyakan
Selain itu, Anies beralasan pembongkaran JPO itu karena akan dibangun underpass (terowongan penyeberangan bawah tanah) yang dibangun agar terintegrasi dengan stasiun Mass Rapid Transit (MRT) yang menghubungkan kawasan Sudirman-Thamrin dengan Lebak Bulus (Jakarta Selatan).;Pembongkaran JPO karena akan dibangun underpass.;https://www.cnnindonesia.com/nasional/20180731142506-20-318401/keamanan-penyeberang-di-bundaran-hi-saat-malam-dipertanyakan
Kritik terhadap penggunaan pelican crossing dan perobohan JPO pun mengundang kritik dari Kepolisian RI. Kepala Korps Lalu Lintas (Kakorlantas) Polri Irjen Royke Lumowa menilai pembongkaran JPO Bundaran HI sebagai kebijakan terburu-buru.;Pembongkaran JPO dinilai sebagai kebijakan terburu-buru.;https://www.cnnindonesia.com/nasional/20180731142506-20-318401/keamanan-penyeberang-di-bundaran-hi-saat-malam-dipertanyakan
Menurut Royke, pelican crossing yang akan menggantikan JPO tersebut akan memberikan masalah baru yang membuat arus lalu lintas terhambat. Pasalnya, pengendara harus berhenti saat lampu penyebrangan aktif selama 13 detik.;Pelican crossing membuat arus lalu lintas terhambat.;https://www.cnnindonesia.com/nasional/20180731142506-20-318401/keamanan-penyeberang-di-bundaran-hi-saat-malam-dipertanyakan
Pelican crossing yang baru saja dipasang kemarin, Senin (30/7) berada di di depan Hotel Pullman dan Plaza Indonesia.;Pelican crossing dipasang di depan Hotel Pullman dan Plaza Indonesia.;https://www.cnnindonesia.com/nasional/20180731142506-20-318401/keamanan-penyeberang-di-bundaran-hi-saat-malam-dipertanyakan
Lalu lintas pun memadat di kawasan ini. Soal penumpukan kendaraan akibat kehadiran pelican crossing juga dikeluhkan pengendara. Salah satunya Taufik yang ditemui CNNIndonesia.com pada Selasa (31/7) pagi.;Penumpukan kendaraan akibat pelican crossing.;https://www.cnnindonesia.com/nasional/20180731142506-20-318401/keamanan-penyeberang-di-bundaran-hi-saat-malam-dipertanyakan
Taufik menyayangkan atas alasan pemerintah memutuskan membongkar JPO HI. Padahal, JPO itu lebih baik dirobohkan setelah underpass penyeberangan sudah siap digunakan. ;Taufik menyayangkan keputusan membongkar JPO HI.;https://www.cnnindonesia.com/nasional/20180731142506-20-318401/keamanan-penyeberang-di-bundaran-hi-saat-malam-dipertanyakan
Taufik menegaskan keberadaan JPO sebagai fasilitas penyebrangan itu memiliki nilai cukup untuk membuat nyaman pengendara maupun penyebrang.;JPO membuat nyaman pengendaran dan penyebrang.;https://www.cnnindonesia.com/nasional/20180731142506-20-318401/keamanan-penyeberang-di-bundaran-hi-saat-malam-dipertanyakan
Di satu sisi, demi keamanan, Pemprov DKI menyiagakan petugas Dinas Perhubungan selama 24 jam di kawasan tersebut. ;Dinas Perhubungan siaga 24 jam.;https://www.cnnindonesia.com/nasional/20180731142506-20-318401/keamanan-penyeberang-di-bundaran-hi-saat-malam-dipertanyakan
Instruksi itu diberikan untuk mensosialisasikam sekaligus mengamankan pengendara dan penyebrang jalan setelah JPO Bundaran HI dibongkar.;Instruksi setelah JPO Bundaran HI dibongkar.;https://www.cnnindonesia.com/nasional/20180731142506-20-318401/keamanan-penyeberang-di-bundaran-hi-saat-malam-dipertanyakan
Gubernur DKI Jakarta Anies Baswedan menyebut perluasan sistem ganjil genap untuk Asian Games 2018 tidak berlaku bagi para penyandang cacat atau difabel. ;Perluasan sistem ganjil genap tidak berlaku bagi difabel.;https://www.cnnindonesia.com/nasional/20180802200703-20-319088/sistem-ganjil-genap-tak-berlaku-untuk-penyandang-cacat
Pengecualian itu dikatakan Anies tercantum dalam Peraturan Gubernur Provinsi DKI Jakarta Nomor 77 Tahun 2018 tentang Pembatasan Lalu Lintas dengan Sistem Ganjil Genap Selama Penyelenggaraan Asian Games 2018.;Pengecualian tercantum dalam Peraturan Gubernur Provinsi DKI Jakarta.;https://www.cnnindonesia.com/nasional/20180802200703-20-319088/sistem-ganjil-genap-tak-berlaku-untuk-penyandang-cacat
Anies menyampaikan penyandang disabilitas dikecualikan karena tak bisa bergonta-ganti mobil. ;Penyandang disabilitas dikecualikan.;https://www.cnnindonesia.com/nasional/20180802200703-20-319088/sistem-ganjil-genap-tak-berlaku-untuk-penyandang-cacat
Apalagi, kata Anies, terkadang mobil yang digunakan pun sudah dirancang khusus untuk memudahkan penggunanya.;Mobil yang digunakan sudah dirancang khusus.;https://www.cnnindonesia.com/nasional/20180802200703-20-319088/sistem-ganjil-genap-tak-berlaku-untuk-penyandang-cacat
Anies telah menginstruksikan Dinas Perhubungan DKI Jakarta untuk menyiapkan stiker khusus yang nantinya diberikan kepada para penyandang disabilitas yang menggunakan mobil. Stiker itu menjadi penanda mobil yang digunakan oleh penyandang disabilitas.;Stiker khusus untuk penanda mobil penyandang disabilitas.;https://www.cnnindonesia.com/nasional/20180802200703-20-319088/sistem-ganjil-genap-tak-berlaku-untuk-penyandang-cacat
Perluasan sistem ganjil genap dalam rangka melancarkan penyelenggaraan Asian Games 2018 telah resmi diterapkan sejak Rabu (1/8).;Melancarkan penyelenggaraan Asian Games 2018.;https://www.cnnindonesia.com/nasional/20180802200703-20-319088/sistem-ganjil-genap-tak-berlaku-untuk-penyandang-cacat
Ia pun mengimbau kepada semua pihak untuk tidak menyalahgunakan stiker tersebut. Dia menyatakan bakal menindak tegas pengemudi yang menyalahgunakan stiker tersebut.;Imbauan untuk tidak menyalahgunakan stiker.;https://www.cnnindonesia.com/nasional/20180802200703-20-319088/sistem-ganjil-genap-tak-berlaku-untuk-penyandang-cacat
